Code,Title,Previously,Availability,Credit Points
JPN301,Japanese 6,,MURDOCHMURDOCH: AU3-internal,3
JPN302,Japanese 7,,MURDOCHMURDOCH: AU1-internal,3
JPN303,Japanese 8,,MURDOCHMURDOCH: S2-internal,3
JPN311,Semester in Japan (I),,"MURDOCHMURDOCH: S1-internal, S2-internal",12
JPN410,Semester in Japan (II),,"MURDOCHMURDOCH: S1-internal, S2-internal",12
JPN411,Semester in Japan (III),,"MURDOCHMURDOCH: S1-internal, S2-internal",12
JPN412,Semester in Japan (IV),,"MURDOCHMURDOCH: S1-internal, S2-internal",12
JPN514,Postwar Japan,2013: JPN614,Not available,3
JPN543,Semester in Japan,2013: JPN643,"MURDOCHMURDOCH: S1-internal, S2-internal",12
KAC001,Big Ideas,,"MURDOCHMURDOCH: S1-internal, S2-internal",NA
KAC002,Your Writing Tool-kit,,"MURDOCHMURDOCH: S1-internal, S2-internal",NA
KAC003,Understanding Your World,,"MURDOCHMURDOCH: S1-internal, S2-internal",NA
KAC004,iHealth,,"MURDOCHMURDOCH: S1-internal, S2-internal",NA
KAC005,University Bridging Unit,,"MURDOCHMURDOCH: UA4-internal, W-internal",NA
KAC101,Ngoolark Special Project 1,,"MURDOCHMURDOCH: S1-internal, S1-external, S2-internal, S2-external",0
KAC201,Ngoolark Special Project 2,,"MURDOCHMURDOCH: S1-internal, S1-external, S2-internal, S2-external",0
LEG100,"Law, Justice and Social Policy",,"MURDOCHMURDOCH: S2-internal, S2-external",3
LEG203,"Indigenous Peoples, Law and Society",,"MURDOCHMURDOCH: S1-internal, S1-external",3
LEG211,Legal Costs Assessment,2016: LLB211,Not available,3
LEG323,Social and Welfare Law,,"MURDOCHMURDOCH: S2-internal, S2-external",3
LEG391,Alternative Dispute Resolution,2016: LEG291; 2015: LEG3912015: 'Dispute Resolution',"MURDOCHMURDOCH: S2K-internal, S2K-external",3
LLB120,Legal Writing for Lawyers,2014: LAW120,"MURDOCHMURDOCH: S1-internal, S2-internal",3
LLB130,Criminal Law and Procedure,2014: LAW130,MURDOCHMURDOCH: S2-internal,3
LLB152,Torts,2014: LAW152,MURDOCHMURDOCH: S2-internal,3
LLB201,Policing and Crime Prevention,,MURDOCHMURDOCH: S1-internal,3
LLB203,"Indigenous Peoples, Law and Society",,MURDOCHMURDOCH: S1-internal,3
LLB209,Sports Law,,Not available,3
LLB210,The Law of Costs,,MURDOCHMURDOCH: SUM-internal,3
LLB251,Equity,2014: LLB351,MURDOCHMURDOCH: S1-internal,3
LLB253,Property Law A,,MURDOCHMURDOCH: S1-internal,3
