code,title,uni,state
"[	
	CHEM6512",Honours in Chemistry,University of Queensland,QLD
"[	
	CHEM6513",Honours in Chemistry,University of Queensland,QLD
CHEM2058,Translational Chemistry and Data Processing,University of Queensland,QLD
GEOM1000,Fundamentals of Geographic Information and Technologies,University of Queensland,QLD
GEOS1100,Environment & Society,University of Queensland,QLD
GEOS3102,Global Change: Problems and Prospects,University of Queensland,QLD
"[	
	GEOS3401",Advanced Science Research Topic in Geographical Science,University of Queensland,QLD
"[	
	GEOS3402",Advanced Science Research Topic in Geographical Science,University of Queensland,QLD
ENVM4008,Science & the Environment,University of Queensland,QLD
"[	
	GEOS6100",Honours Research Thesis,University of Queensland,QLD
"[	
	GEOS6101",Honours Research Thesis,University of Queensland,QLD
GEOG2205,Global Population Issues,University of Queensland,QLD
GEOM2000,Introduction to Earth Observation Sciences (EOS),University of Queensland,QLD
GEOS2100,Environmental Systems,University of Queensland,QLD
GEOS2101,Climatology & Hydrology,University of Queensland,QLD
GEOS2103,Biogeography & Geomorphology,University of Queensland,QLD
GEOS2110,Tectonics and Geomorphology of Active Plate Boundaries,University of Queensland,QLD
STAT2004,Statistical Modelling & Analysis,University of Queensland,QLD
COSC3000,"Visualization, Computer Graphics & Data Analysis",University of Queensland,QLD
ENVM3201,Catchment Processes & Management,University of Queensland,QLD
GEOG3205,Applied Demography,University of Queensland,QLD
GEOM3001,Advanced Earth Observation Sciences (EOS),University of Queensland,QLD
GEOM3002,Advanced Geographical Information Systems,University of Queensland,QLD
GEOM3005,Geospatial Processing and Web Mapping,University of Queensland,QLD
GEOS3106,Environmental Hazards,University of Queensland,QLD
GEOS3107,"Plants, People and the Environment",University of Queensland,QLD
GEOS3108,Meteorology,University of Queensland,QLD
GEOS3400,Research Topic,University of Queensland,QLD
ERTH1000,Planet Earth: The Big Picture,University of Queensland,QLD
SCIE1100,Advanced Theory and Practice in Science,University of Queensland,QLD
ERTH2004,Structural Geology,University of Queensland,QLD
ERTH2006,Igneous & Metamorphic Petrology,University of Queensland,QLD
ERTH2020,Introduction to Geophysics,University of Queensland,QLD
ERTH2050,Field Geology,University of Queensland,QLD
ERTH3001,Ore Deposits & Exploration Geology,University of Queensland,QLD
ERTH3104,Tectonics and Crustal Evolution,University of Queensland,QLD
SCIE3230,Introduction to Research in Geological Sciences,University of Queensland,QLD
ERTH3021,Exploration & Mining Geophysics,University of Queensland,QLD
ERTH3050,Field Geology: Mapping in the Outback,University of Queensland,QLD
ERTH3060,Advanced Structural Geology,University of Queensland,QLD
ERTH3103,Sedimentary Environments,University of Queensland,QLD
ERTH3203,Energy Resources,University of Queensland,QLD
ERTH3205,Geochemistry and Geochronology,University of Queensland,QLD
ERTH3250,Hydrogeology,University of Queensland,QLD
ERTH3301,Ore Body Modelling,University of Queensland,QLD
PHYS3071,Computational Physics,University of Queensland,QLD
"[	
	ERTH6501",Geology Honours Thesis,University of Queensland,QLD
"[	
	ERTH6502",Geology Honours Thesis,University of Queensland,QLD
"[	
	MATH1051",Calculus & Linear Algebra I,University of Queensland,QLD
"[	
	MATH1071",Advanced Calculus & Linear Algebra I,University of Queensland,QLD
"[	
	MATH1052",Multivariate Calculus & Ordinary Differential Equations,University of Queensland,QLD
"[	
	MATH1072",Advanced Multivariate Calculus & Ordinary Differential Equations,University of Queensland,QLD
"[	
	MATH2400",Mathematical Analysis,University of Queensland,QLD
"[	
	MATH2401",Mathematical Analysis and Advanced Topics,University of Queensland,QLD
"[	
	MATH6010",Mathematics Honours Research Project,University of Queensland,QLD
"[	
	MATH6020",Mathematics Honours Research Project,University of Queensland,QLD
"[	
	SCIE3250",Introduction to Research in Mathematics/Physics,University of Queensland,QLD
"[	
	SCIE3251",Introduction to Research in Mathematics/Physics,University of Queensland,QLD
