course_name,course_code,meta,meta_second
Landscape Studio 5:Sustainable Urbanism,ABPL90072,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 25 credit points "
Chemistry Research Project Pt 3,CHEM90034,"Offered Semester 1 (Extended), Semester 2 (Extended), 2020","Graduate coursework, 50 credit points "
Gender and Health,POPH90199,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Implementation Science in Practice,SCWK90068,"Offered Term 3, 2020","Graduate coursework, 12.5 credit points "
Economics Research Essay Part 2,ECON40019,"Offered Semester 2, 2020","Honours, 12.5 credit points "
Practice of Evaluation,EDUC90847,"Offered Term 2, Term 4, 2020","Graduate coursework, 12.5 credit points "
Intervention in Problems of Young People,EDUC90222,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Neural Information Processing,BMEN90002,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Labour in Construction,ABPL90332,"Offered July, 2020","Graduate coursework, 12.5 credit points "
Theatre Lab 3,DRAM30025,"Offered Semester 1, 2020","Undergraduate Level 3, 37.5 credit points "
Graduate Spanish A,SPAN90003,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Design Workshop,ABPL30067,"Offered Semester 1, 2020","Undergraduate Level 3, 12.5 credit points "
Early Voices 2,MUSI10057,"Offered Semester 2, 2020","Undergraduate Level 1, 6.25 credit points "
Bargaining at Work,LAWS70135,"Offered November, 2020","Graduate coursework Level 7, 12.5 credit points "
Construction Measurement and Estimating,ABPL90208,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Chemistry Honours Research Project Pt2,CHEM40013,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2020","Honours, 37.5 credit points "
Conflict and Terrorism in Southeast Asia,ASIA90015,"Offered February, 2020","Graduate coursework, 12.5 credit points "
Translating from Chinese to English,TRAN90009,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Law Apps,LAWS90033,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Real and Artificial Neural Networks,NEUR30006,"Offered Semester 2, 2020","Undergraduate Level 3, 12.5 credit points "
MSD Minor Thesis Part 1,ABPL90396,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Linear Algebra: Advanced,MAST10022,"Offered Semester 1, 2020","Undergraduate Level 1, 12.5 credit points "
Body of Ageing,POPH90257,"Offered Term 3, 2020","Graduate coursework, 12.5 credit points "
Research Methods in Surgical Education,MEDS90011,"Offered January, 2020","Graduate coursework, 12.5 credit points "
Acting Lab 3,DRAM30021,"Offered Semester 1, 2020","Undergraduate Level 3, 37.5 credit points "
The Biology of Human Health and Disease,PAED40002,"Offered Year Long, 2020","Honours, 12.5 credit points "
Data Wrangling and Visualisation,BUSA90520,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Integrated River & Catchment Management,GEOG90003,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Modelling the Australian Macroeconomy,ECOM40005,"Offered Semester 2, 2020","Honours, 12.5 credit points "
"Trauma, Memory, Bodies",GEND30006,"Offered Semester 1, 2020","Undergraduate Level 3, 12.5 credit points "
Learning Area Commerce & Bus. Studies 1,EDUC90431,"Offered Semester 1 (Early-Start), 2020","Graduate coursework, 12.5 credit points "
Brand Management,MKTG90006,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Shorter Thesis - Applied Philosophy,PHIL70004,"Offered Time-based Research, 2020","Masters time-based research, 0 credit points "
Forensic Odontology 2,DENT90040,"Offered Semester 2, 2020","Graduate coursework, 25 credit points "
Languages of the Screen 1,FLTV10005,"Offered Semester 1, 2020","Undergraduate Level 1, 12.5 credit points "
Preclinical Dental Practice 1,DENT90059,"Offered Semester 1 (Early-Start), 2020","Graduate coursework, 6.25 credit points "
Industry Internship,AGRI30041,"Offered Summer Term, Semester 2, 2020","Undergraduate Level 3, 12.5 credit points "
Major Research Project,AGRI90072,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 50 credit points "
Acting Skills 4,MUST30002,"Offered Semester 1, 2020","Undergraduate Level 3, 6.25 credit points "
Bioinformatics Research Project Pt 4,BINF90012,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2020","Graduate coursework, 12.5 credit points "
Organisational Change,BUSA90279,"Offered October, 2020","Graduate coursework, 12.5 credit points "
Cochlear Implants,AUDI90005,"Offered Year Long, 2020","Graduate coursework, 12.5 credit points "
Transport Systems,CVEN90048,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Statics,ENGR10005,"Offered Semester 2, 2020","Undergraduate Level 1, 12.5 credit points "
Special Study,MUSI40056,"Offered Semester 1, Semester 2, 2020","Honours, 12.5 credit points "
Don Juan: Our Contemporary,ENGL40018,"Offered Semester 1, 2020","Honours, 12.5 credit points "
Quantitative Analysis of Finance II,ECON90010,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Related Studies Sculpture & Spatial Prac,FINA10031,"Offered Semester 1, 2020","Undergraduate Level 1, 12.5 credit points "
