code,title
BUSA8030,Business Process Modelling
BUSA8031,Business Analytics Project
BUSA8037,Big Data and Decision Analysis
BUSA8090,Data and Visualisation for Business
BUSA8091,Data Analytics Tools for Finance and Insurance
CAUD8001,Speech Perception and Production
CAUD8002,Adult Hearing Assessment
CAUD8003,Theoretical Bases of Audiology
CAUD8004,Clinical Practicum I
CAUD8005,Hearing Devices
CAUD8006,Objective Assessment Strategies
CAUD8007,Paediatric Hearing Assessment
CAUD8008,Clinical Practicum II
CAUD8009,Strategies of Aural Rehabilitation
CAUD8010,Advanced Hearing Devices
CAUD8011,Audiology Project
CAUD8012,Research Design Skills
CAUD8013,Clinical Practicum III
CAUD8014,Audiology and Public Health
CAUD8015,Principles of Management of Childhood Deafness
CAUD8016,Complex Case Management
CAUD8017,Clinical Practicum IV
CHEM1001,Foundations of Chemical and Biomolecular Sciences 1
CHEM1002,Foundations of Chemical and Biomolecular Sciences 2
CHEM1101,"Alchemy, Drugs and the Quest for Immortality"
CHEM2201,Analysis and Measurement
CHEM2401,Physical Chemistry I
CHEM2601,Synthesis
CHEM3201,Advanced Analysis
CHEM3401,Physical Chemistry II
CHEM3601,Advanced Synthesis
CHEM3602,Catalysis
CHEM3801,Medicinal Chemistry
CHEM6201,Analysis and Measurement
CHEM6231,Advanced Analysis
CHEM6601,Synthesis
CHEM6631,Advanced Synthesis
CHEM6801,Medicinal Chemistry
CHEX1001,Foundations in Chemistry
CHIN1010,I Chinese Studies 1
CHIN1012,Chinese Calligraphy
CHIN1020,I Chinese Studies 2
CHIN1045,Chinese Short Term Residential Program 1
CHIN1048,H Chinese Studies I
CHIN1049,H Chinese Studies II
CHIN1057,Contemporary China
CHIN1210,C Chinese Studies 3
CHIN1220,C Chinese Studies 4
CHIN1310,A Chinese Studies 5
CHIN1320,A Chinese Studies 6
CHIN2010,I Chinese Studies 3
CHIN2012,Traditional Chinese Thought
CHIN2020,I Chinese Studies 4
CHIN2045,Chinese Short Term Residential Program 2
CHIN2052,English-Chinese Translation I
CHIN2080,Traditional Chinese Culture and Society
CHIN2086,Chinese-English-Chinese Interpreting I
CHIN2210,C Chinese Studies 5
CHIN2220,C Chinese Studies 6
CHIN2310,A Chinese Studies 7
CHIN3001,Social Issues in China Today
CHIN3010,I Chinese Studies 5
CHIN3020,I Chinese Studies 6
CHIN3030,The Chinese Classics
CHIN3031,History of Chinese Art
CHIN3040,HSK Chinese Proficiency Test
CHIN3041,Chinese Literature and Culture
CHIN3045,Chinese Short Term Residential Program 3
CHIN3085,English-Chinese Translation II
CHIN3087,Chinese-English Translation II
CHIN3088,Chinese-English-Chinese Interpreting II
CHIR1101,Chiropractic Sciences 1
CHIR1102,Chiropractic Sciences 2
CHIR2103,Chiropractic Sciences 3
CHIR2104,Chiropractic Sciences 4
CHIR3105,Chiropractic Science 5
CHIR3106,Chiropractic Science 6
CHIR3610,Foundations of Clinical Practice
CHIR6110,Chiropractic A
CHIR6111,Chiropractic B
CHIR6302,Medical Sciences A
CHIR6303,Medical Sciences B
CHIR6410,Radiographic Science
CHIR6510,Diagnostic Sciences
CHIR8101,Clinical Chiropractic 1
CHIR8102,Clinical Chiropractic 2
CHIR8103,Clinical Chiropractic 3
CHIR8104,Clinical Chiropractic 4
CHIR8201,Postgraduate Advanced Research I
CHIR8202,Postgraduate Advanced Research II
CHIR8401,Diagnostic Imaging 1
CHIR8402,Diagnostic Imaging 2
CHIR8501,Neuromusculoskeletal Diagnosis 1
CHIR8502,Neuromusculoskeletal Diagnosis 2
CHIR8503,Physical and Functional Assessment
CHIR8504,Clinical Management
CHIR8505,Diagnosis and Management 1
CHIR8506,Diagnosis and Management 2
CHIR8601,Clinic Internship 1
CHIR8602,Clinic Internship 2
CHIR8990,Master of Research - Anatomy and Chiropractic
CIVL1001,Introduction to Civil Engineering
CIVL2101,Water and Wastewater Engineering
CIVL2201,Soil Mechanics
CIVL2205,Geotechnical Engineering
CIVL2301,Structural Analysis
CIVL3101,Hydraulics and Hydrology
CIVL4090,Civil Engineering Research Thesis A
CIVL4091,Civil Engineering Research Thesis B
CIVL6101,Water and Wastewater Engineering
CLIN8990,Master of Research - Clinical Medicine
COGS1000,Introduction to Neuroscience 1
